date,trades,volume_usd,gross_pnl,fees,net_pnl
2024-06-27,30,130486.95,0.0,45.556012,-45.556012
2024-06-29,75,280095.11,6150.326145,460.295231,5690.030914
2024-06-30,14,30520.69,0.0,17.057669,-17.057669
2024-07-01,64,362670.14999999997,5065.839308,425.323025,4640.516283
2024-07-02,18,33347.47,2421.253116,11.458730000000001,2409.794386
2024-07-03,18,179600.66,1118.387284,62.628682,1055.7586019999999
2024-07-04,25,430568.01,0.0,113.02464499999999,-113.02464499999999
2024-07-05,32,272289.89,0.0,95.130717,-95.130717
2024-07-06,24,2490.17,108.87217799999999,344.35416,-235.481982
2024-07-07,10,498.75,61.428942,0.049875,61.379067
2024-07-08,1,497.64,0.0,0.0156,-0.0156
2024-07-09,15,2736.45,648.984412,0.39756800000000003,648.586844
2024-07-10,56,687900.21,11977.734907,240.76504,11736.969867
2024-07-11,19,169887.02,1876.812082,59.460443,1817.351639
2024-07-12,19,89582.97,1412.314654,31.354029,1380.9606250000002
2024-07-13,17,139189.19,2913.617837,48.71621,2864.9016269999997
2024-07-14,7,84001.13,0.0,29.400389,-29.400389
2024-07-15,26,198344.85,-1.0,68.995769,-69.995769
2024-07-16,22,144000.57,0.0,50.400180999999996,-50.400180999999996
2024-07-17,351,626005.53,1859.269477,206.601913,1652.667564
2024-07-18,60,649704.85,3803.884311,227.396664,3576.487647
2024-07-19,23,150269.42,2155.891114,52.594288,2103.296826
2024-07-20,266,244362.21,2299.169566,80.758418,2218.411148
2024-07-21,448,234307.46,-2960.716887,64.72334,-3025.440227
2024-07-22,154,304213.8,1517.119876,97.459536,1419.66034
2024-07-23,370,358526.54,89890.302206,59.243126000000004,89831.05908
2024-07-24,90,69207.93,625.561479,55.067279,570.4942
2024-07-25,78,528555.31,916.7382600000001,224.185916,692.5523440000001
2024-07-26,152,548587.65,2766.513113,206.567015,2559.946098
2024-07-27,57,905199.75,6400.623656,316.819894,6083.803762
2024-07-28,16,43254.68,587.29903,15.139122,572.159908
2024-07-29,39,327199.14,330.80445399999996,114.519684,216.28477
2024-07-30,6,36006.47,0.0,12.602264,-12.602264
2024-07-31,43,84506.54,765.690884,29.577267000000003,736.113617
2024-08-01,57,227774.53,167.080017,108.095036,58.98498099999998
2024-08-02,63,396320.37,782.3681909999999,145.520462,636.847729
2024-08-03,37,290532.86,464.1897,108.653106,355.53659400000004
2024-08-04,127,1207744.07,-122672.000883,445.902235,-123117.903118
2024-08-05,80,420495.4,-13013.665169,202.719158,-13216.384327
2024-08-06,107,61478.38,267.318048,62.621279,204.696769
2024-08-07,33,2492.77,188.789255,3.7522038,185.0370512
2024-08-08,9,16299.35,-40.712216999999995,6.647995,-47.360212
2024-08-09,144,503204.86,18082.071276,185.25438068,17896.81689532
