date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2024-02-11,34,1,5,212311.82,983.443176,24.955292,958.487884,0.20588235294117646,71.0,Greed,"(67.0, 74.0]"
2024-02-12,16,1,3,227247.69999999998,913.8817869999998,27.111911,886.7698759999998,0.375,70.0,Greed,"(67.0, 74.0]"
2024-02-13,14,1,1,1999.99,559.44389,-0.039992,559.483882,1.0,79.0,Extreme Greed,"(74.0, 94.0]"
2024-02-14,111,2,9,320839.88,3830.599833,22.917474000000002,3807.682359,0.7477477477477478,74.0,Greed,"(67.0, 74.0]"
2024-02-15,63,2,7,185188.04,1840.797677,30.706297,1810.09138,0.9047619047619048,72.0,Greed,"(67.0, 74.0]"
2024-02-16,182,2,7,564896.51,5491.768834,27.22517,5464.543664,0.8021978021978022,72.0,Greed,"(67.0, 74.0]"
2024-02-17,94,2,9,406118.07,1929.6418,62.055053,1867.586747,0.648936170212766,76.0,Extreme Greed,"(74.0, 94.0]"
2024-02-18,97,1,5,157048.17,477.6248299999999,-3.140925,480.7657549999999,0.6288659793814433,72.0,Greed,"(67.0, 74.0]"
2024-02-19,101,2,6,286377.2,4317.768563,14.85262,4302.915943,0.7623762376237624,75.0,Extreme Greed,"(74.0, 94.0]"
2024-02-20,39,2,6,119419.72,3263.628824,3.073675,3260.555149,0.7948717948717948,72.0,Greed,"(67.0, 74.0]"
2024-02-21,22,2,4,108047.51999999999,1858.7985700000002,2.970629,1855.827941,0.6818181818181818,78.0,Extreme Greed,"(74.0, 94.0]"
2024-02-22,88,2,5,373033.87,3894.1050699999996,25.45258,3868.6524899999995,0.45454545454545453,74.0,Greed,"(67.0, 74.0]"
2024-02-23,143,1,3,111106.14,1418.55293,-2.067069,1420.619999,0.958041958041958,76.0,Extreme Greed,"(74.0, 94.0]"
2024-02-25,5,1,1,4480.13,-30.7705,-0.0896,-30.6809,0.0,74.0,Greed,"(67.0, 74.0]"
2024-02-26,39,2,3,192187.14,4416.8473,-0.09772499999999981,4416.945025,0.8717948717948718,72.0,Greed,"(67.0, 74.0]"
2024-02-27,63,2,7,209362.3,888.511733,-3.761609,892.2733420000001,0.4126984126984127,79.0,Extreme Greed,"(74.0, 94.0]"
2024-02-28,45,1,3,171107.13,2503.747235,-1.377152,2505.124387,0.8666666666666667,82.0,Extreme Greed,"(74.0, 94.0]"
2024-02-29,116,2,8,395666.73,9813.996992,1.3590849999999999,9812.637907,0.8620689655172413,80.0,Extreme Greed,"(74.0, 94.0]"
2024-03-01,137,1,7,472974.7,8244.241409,-0.546854,8244.788263,0.9343065693430657,80.0,Extreme Greed,"(74.0, 94.0]"
2024-03-02,31,2,4,63197.56,230.90060000000005,-0.4691290000000001,231.36972899999995,0.6774193548387096,80.0,Extreme Greed,"(74.0, 94.0]"
2024-03-03,79,1,8,390745.68,8361.086245,-2.507103,8363.593348,0.6835443037974683,83.0,Extreme Greed,"(74.0, 94.0]"
2024-03-04,300,2,15,1577996.87,27799.775742,-0.559449,27800.335191,0.8866666666666667,82.0,Extreme Greed,"(74.0, 94.0]"
2024-03-05,180,1,5,841810.32,19791.026041,-4.438459,19795.464500000002,0.9055555555555556,90.0,Extreme Greed,"(74.0, 94.0]"
2024-03-06,82,1,6,327218.02,6814.825139,-3.355318,6818.1804569999995,0.8780487804878049,75.0,Extreme Greed,"(74.0, 94.0]"
2024-03-08,67,1,5,183583.18,4271.886236,-3.6716290000000003,4275.557865,0.8805970149253731,81.0,Extreme Greed,"(74.0, 94.0]"
2024-03-09,117,1,6,658178.75,9949.501624,1.8517640000000002,9947.64986,0.8290598290598291,84.0,Extreme Greed,"(74.0, 94.0]"
2024-03-10,42,1,3,219973.85,2482.9272,2.281072,2480.646128,0.6904761904761905,79.0,Extreme Greed,"(74.0, 94.0]"
2024-03-11,42,1,2,176519.44999999998,3588.179495,8.47289,3579.7066050000003,0.9285714285714286,82.0,Extreme Greed,"(74.0, 94.0]"
2024-03-12,8,1,1,103040.85,3039.166,4.945953,3034.220047,0.875,81.0,Extreme Greed,"(74.0, 94.0]"
2024-03-13,7,1,1,6000.799999999999,0.0,2.100278,-2.100278,0.0,81.0,Extreme Greed,"(74.0, 94.0]"
2024-03-14,18,2,3,205933.18,3465.865832,11.716792,3454.14904,0.8888888888888888,88.0,Extreme Greed,"(74.0, 94.0]"
2024-03-15,62,3,6,351894.41,6236.513651,49.485003,6187.0286479999995,0.6612903225806451,83.0,Extreme Greed,"(74.0, 94.0]"
2024-03-16,8,2,2,37223.66,228.57984,10.52828,218.05156,0.125,81.0,Extreme Greed,"(74.0, 94.0]"
