Coin,trades,active_days,volume_usd,gross_pnl,fees,net_pnl,net_pnl_per_1k_volume
BNB,156,28,413782.45,303.200972,137.521464,165.67950800000003,0.4004024530281553
REZ,28,3,12262.95,163.08528,3.892454,159.192826,12.98160931912794
RSR,32,3,19577.24,165.431328,6.36178,159.069548,8.125228479601821
DOT,74,18,153984.59,193.48789299999999,41.391899,152.095994,0.9877351623302046
DYM,19,7,14764.33,122.891343,1.888008,121.00333499999999,8.195653646321912
ZK,56,14,3515.14,99.656693,1.230279,98.426414,28.00070950232423
BABY,3,1,3903.33,98.7298,0.854964,97.874836,25.074701857132244
ORDI,39,5,19765.6,99.593622,6.751743,92.841879,4.697144483344802
AI,51,11,16491.09,94.826156,5.126133,89.700023,5.439302253519931
ATOM,79,20,7665.85,88.234264,2.683001,85.551263,11.160049179151692
RLB,4,2,1914.8,75.947736,0.4787,75.469036,39.41353457280134
@53,4,4,69.77000000000001,67.86470700000001,0.022143,67.84256400000001,972.3744302708901
@35,4,3,68.30000000000001,67.028127,0.022919,67.005208,981.0425768667641
GAS,2,2,739.53,60.6139,0.184881,60.429019,81.71273511554637
MYRO,15,3,47222.34,53.47767,-0.781078,54.258748000000004,1.1490059154205405
@138,4,2,109.53999999999999,50.950684,0.036803,50.913881,464.79716085448246
@47,4,3,51.14,50.313458,0.017169,50.296289,983.5019358623387
@103,7,6,40.0,38.558036,0.013415999999999999,38.54462,963.6155000000001
@41,5,5,38.239999999999995,36.73844,0.003574,36.734866,960.6398012552302
SUPER,10,5,1293.37,35.197902,0.45267399999999997,34.745228000000004,26.864105399073743
NEIROETH,2,2,409.70000000000005,34.161578,0.143393,34.018185,83.03193800341712
@31,3,3,33.61,33.212273,0.011291,33.200982,987.8304671228802
MEW,12,7,1305.31,32.46208,0.456847,32.005233000000004,24.51925826048985
@100,4,3,42.67,27.627142,0.0448066,27.5823354,646.41048511835
ARK,36,5,10111.66,27.189288,2.902588,24.2867,2.4018509324878408
@153,102,3,117912.92,35.217067,11.319555,23.897512,0.2026708523544324
ALGO,7,5,3867.61,18.36352,1.311681,17.051839,4.4088827467092075
@93,2,2,16.33,15.954796,0.004899,15.949897,976.7236374770363
@36,3,3,16.1,15.663073,0.005407,15.657666,972.5258385093167
@113,5,5,42.28,16.92622,1.451161,15.475059,366.0136944181646
@33,4,3,15.18,13.566929,0.005082,13.561847,893.4023056653492
@39,2,2,12.57,12.238556,0.004224,12.234332,973.2961018297533
BOME,8,6,1319.38,12.248102000000001,0.461778,11.786324,8.933229244038866
@38,9,4,538.6700000000001,33.271993,23.865228000000002,9.406765,17.462945773850407
@40,9,3,413.94,12.149683,5.010256,7.139426999999998,17.247492390201472
kNEIRO,5,3,882.27,5.319437000000001,0.308792,5.010645,5.679264850895985
@117,4,3,14.77,4.631689,0.05505500000000001,4.576633999999999,309.86012186865264
REQ,19,1,2277.65,4.947336,0.511849,4.435486999999999,1.9473962197879389
LISTA,2,2,1994.73,4.46974,0.6702250000000001,3.7995150000000004,1.9047765863049135
@114,2,2,1.32,1.309077,0.000396,1.308681,991.4249999999998
MAV,2,1,21.049999999999997,0.0189,0.007071,0.011829,0.5619477434679335
@17,1,1,0.0,0.0,0.0,0.0,
@15,2,1,1.11,0.0,0.0,0.0,0.0
@21,1,1,0.94,0.0,0.0,0.0,0.0
@34,2,2,0.81,0.0,0.0,0.0,0.0
@32,1,1,0.01,0.0,0.0,0.0,0.0
@18,1,1,0.46,0.0,0.0,0.0,0.0
@11,1,1,0.61,0.0,0.0,0.0,0.0
@30,1,1,0.69,0.0,0.0,0.0,0.0
@19,2,1,0.81,0.0,0.0,0.0,0.0
@28,2,2,1.74,0.0,0.0,0.0,0.0
@25,1,1,0.65,0.0,0.0,0.0,0.0
@42,1,1,0.74,0.0,0.0,0.0,0.0
